congruent,base_sent
Все обвиненные в махинациях топ-менеджеры покинули компанию .,Топ-менеджеры покинули компанию
Сбой в работе вызвала подозрительная находка .,Находка вызвала
Материалы уголовного дела насчитывают более тысячи томов .,Материалы насчитывают томов
Здание имело вогнутый полукруглый фасад .,Здание имело фасад
Момент нападения снял на видео его товарищ .,Товарищ снял момент
Система будет вычислять находящихся в розыске преступников .,Система вычислять преступников
Получил высшее образование по специальности агроном .,Агроном получил образование
Геометрические гротески имеют строгие геометрические формы букв .,Гротески имеют формы
Финансовый комитет обычно возглавляет казначей клуба .,Казначей возглавляет
Причину возникновения пожара выясняют эксперты .,Эксперты выясняют причину
Полиция подписала несколько десятков таких открыток .,Полиция подписала десятков
Истекающий кровью мужчина самостоятельно вызвал скорую помощь .,Мужчина вызвал помощь
Подсистема телекоммуникации обеспечивала связь аппарата с Землёй .,Телекоммуникации обеспечивала связь
Сотрудники авиакомпании принесли свои извинения пострадавшей семье .,Сотрудники принесли извинения
Обе стороны назвали неприемлемым деструктивное вмешательство .,Стороны назвали вмешательство
Обычно башню венчает крыша с цилиндрическим сводом .,Крыша венчает башню
Критики достаточно благожелательно встретили фильм .,Критики встретили фильм
Космонавты и раньше покидали отряд .,Космонавты покидали отряд
Тюменская область подтвердила статус кузницы управленческих кадров !,Область подтвердила статус
Расстояние между ними составило всего один километр .,Расстояние составило километр
Вместе они бесчисленное количество раз спасали мир .,Они спасали мир
Вот так по-черному иронична может быть жизнь .,Жизнь может
Переводы Библии вызвали сильное недовольство ортодоксальных раввинов .,Переводы вызвали недовольство
Лондонская полиция расследовала это дело .,Полиция расследовала дело
С наступлением весенней оттепели природа творит чудеса .,Природа творит чудеса
"Спасатели предпринимают усилия , чтобы ликвидировать возгорание .",Спасатели предпринимают усилия
Полиция нашла гильзу на асфальте .,Полиция нашла гильзу
Полиция проверяет подлинность найденных облигаций .,Полиция проверяет подлинность
Суд принял решение принудительно изолировать этих граждан .,Суд принял решение
Грабители разбили витрины и забрали драгоценности .,Грабители разбили витрины
Цирк имеет собственную гостиницу для гастролирующих артистов .,Цирк имеет гостиницу
Местный сенат принял решение о капитуляции .,Сенат принял решение
Гражданская война нанесла огромный ущерб наблюдательной сети .,Война нанесла ущерб
Сотрудники полиции безопасности также обыскали его кабинет .,Сотрудники обыскали кабинет
Сотрудники музея восстанавливают разрушенные колонны .,Сотрудники восстанавливают колонны
Сотрудники полиции не допускают перекрытия дорог .,Сотрудники допускают перекрытия
Курорт пользуется большой популярностью у туристов .,Курорт пользуется популярностью
Полиция начала проверку по факту произошедшей драки .,Полиция начала проверку
Статья получила широкую известность и неоднозначные оценки .,Статья получила известность
Благотворительный проект запустила Ижевская епархия .,Епархия запустила проект
Практически всю лицевую поверхность аппарата занимает экран .,Поверхность занимает экран
Данное вмешательство носит характер имперских стратегий .,Вмешательство носит характер
"Птицы издают звуки , напоминающие человеческий смех .",Птицы издают звуки
Специалисты устанавливают причины и обстоятельства конфликта .,Специалисты устанавливают причины
Пожарные потушили пламя и зашли в помещение .,Пожарные потушили пламя
Позже местные спецслужбы ликвидировали убийцу .,Спецслужбы ликвидировали убийцу
Победителей ждут памятные дипломы и призы .,Дипломы ждут победителей
Длинноволосого высокого мужчину запечатлели камеры наблюдения .,Камеры запечатлели мужчину
Задержание провели оперативники уголовного розыска и МУРа .,Оперативники провели задержание
Авторы письма выразили возмущение перебоями работы сети .,Авторы выразили возмущение
Демонстранты требовали демократических свобод и отставки президента .,Демонстранты требовали свобод
Парень прихватил с собой из дома нож .,Парень прихватил нож
В данный момент новинка проходит стадию тестирования .,Новинка проходит стадию
Сериал представляет собой сборник коротких любовных новелл .,Сериал представляет сборник
"Композиция картин навевает грусть , тоску .",Композиция навевает грусть
Огонь повредил дом по всей площади .,Огонь повредил дом
Эксперты обсудят со зрителями идентичность российского дизайна .,Эксперты обсудят идентичность
Агентство пока не располагает комментариями предприятия .,Агентство располагает комментариями
Большинство из них разрабатывают социальную проблематику .,Большинство разрабатывают проблематику
Полномочия законодательного органа присвоило временное правительство .,Полномочия присвоило правительство
Этот процесс затронул и развития этого края .,Процесс затронул развития
На них большинство получила чехословацкая оппозиция .,Оппозиция получила большинство
Бутылку нашли через несколько часов другие путешественники .,Путешественники нашли бутылку
Другие местные жители не разделяют его убеждения .,Жители разделяют убеждения
Оперативники Центрального района довольно быстро вычислили воришку .,Оперативники вычислили воришку
Своё название озеро получило от казахских слов .,Озеро получило название
Музыканты также рассказали историю создания такого названия .,Музыканты рассказали историю
Невеста тоже выразила свою волю .,Невеста выразила волю
Начало Первой мировой войны затормозило строительство .,Начало затормозило строительство
Эту фразу предложили сразу несколько пользователей .,Пользователей предложили фразу
Переиздание включало в себя два диска .,Переиздание включало диска
Регион обладает значительными запасами лесных ресурсов .,Регион обладает запасами
Памятник представляет собой четыре куба из базальта .,Памятник представляет куба
Арки в виде колоколов имитируют черепицу .,Арки имитируют черепицу
Мультфильм удостоился смешанных отзывов со стороны прессы .,Мультфильм удостоился отзывов
Дорогу не поделили три иномарки .,Поделили иномарки
Следствие выдвинуло несколько версий совершенного убийства .,Следствие выдвинуло версий
Выпуклые поверхности имеют положительную кривизну .,Поверхности имеют кривизну
Судебный исполнитель осуществляет принудительное исполнение исполнительных документов .,Исполнитель осуществляет исполнение
Обе компании опровергли информацию о слиянии .,Компании опровергли информацию
Инициативу болельщиков поддержали ветераны клуба .,Ветераны поддержали инициативу
Ополченцы заподозрили инспекторов в шпионаже .,Ополченцы заподозрили инспекторов
Теннисные модели имеют широкую устойчивую подошву .,Модели имеют подошву
Обе компании пока не прокомментировали данную информацию .,Компании прокомментировали информацию
Изменения затронули преимущественно социально-экономический блок .,Изменения затронули блок
Деньги получили топ-менеджеры обеих фирм .,Топ-менеджеры получили деньги
Тепловое расширение нередко осложняет создание различных объектов .,Расширение осложняет создание
Победителей ждут дипломы и памятные подарки .,Дипломы ждут победителей
Также массовую дезинфекцию проходят городские автобусы .,Автобусы проходят дезинфекцию
Акции имеют общие черты со стихийными выступлениями .,Акции имеют черты
Прокуратура расценила поджоги как теракты .,Прокуратура расценила поджоги
Европейская комиссия разделяет беспокойство по этому поводу .,Комиссия разделяет беспокойство
Призовой фонд составил восемь тысяч шестьсот долларов .,Фонд составил долларов
Двенадцать солнечных лучей символизируют двенадцать бывших сельсоветов .,Сельсоветов символизируют
Оператор никак не объяснил это решение .,Оператор объяснил решение
Изменения коснулись в основном затвора и автоматики .,Изменения коснулись затвора
Штатный боекомплект составляет шесть выстрелов .,Боекомплект составляет выстрелов
Отдел начинает работу с улиц .,Отдел начинает работу
В брачный период самец демонстрирует брачный танец .,Самец демонстрирует танец
Инвесторы отдают предпочтение консервативным фондам облигаций .,Инвесторы отдают предпочтение
Контроль производства и окончательной сборкой занимается издательство .,Издательство занимается
Подсудимые отвергают выдвинутые против них обвинения .,Подсудимые отвергают обвинения
Правоохранительные органы обнаружили бордель на проспекте Наставников .,Органы обнаружили бордель
Мобильный телефон и фотоаппарат убитой преступники продали .,Преступники продали телефон
Водитель перевозил в машине огромную партию наркотиков .,Водитель перевозил партию
Полиция оцепила место аварии и прилегающий район .,Полиция оцепила место
Самка откладывает яйца в ткани растений .,Самка откладывает яйца
Обвиняемые объясняют возбуждение уголовного дела происками конкурентов .,Обвиняемые объясняют возбуждение
Береговая охрана задержала судно и допросила экипаж .,Охрана задержала судно
Учреждение для экспертизы выберут следователи .,Следователи выберут учреждение
Прокуратура начала проверку по факту обрушения здания .,Прокуратура начала проверку
Белый цвет символизирует суровую снежную зиму .,Цвет символизирует зиму
Прокуратура Ленинского района нашла очередную несанкционированную свалку .,Прокуратура нашла свалку
Корейцы предъявили работникам посольства свои требования .,Корейцы предъявили требования
Непогода спровоцировала транспортный коллапс на дорогах .,Непогода спровоцировала коллапс
Пресс-служба компании принесла свои извинения пользователям .,Пресс-служба принесла извинения
Наибольшую известность получили его инструментальные сочинения .,Сочинения получили известность
Сотрудники правоохранительных органов уточняют обстоятельства происшествия .,Сотрудники уточняют обстоятельства
Наличие ледоколов значительно продлило навигацию .,Наличие продлило навигацию
Впоследствии заимствование русских имён приобрело повсеместную форму .,Заимствование приобрело форму
Упомянутые в запросе депутаты представляют разные фракции .,Депутаты представляют фракции
Многие люди боятся этих насекомых .,Люди боятся насекомых
Схема броневой защиты повторяла предыдущий тип .,Схема повторяла тип
Рулевая колонка представляет собой полую трубу .,Колонка представляет трубу
"Следователи осматривают место происшествия , допрашивают свидетелей .",Следователи осматривают место
Творчество мастера получило заслуженное признание зрителей .,Творчество получило признание
Непосредственное руководство поселением осуществляет его глава .,Глава осуществляет
Трудности толкали следствие на отчаянные шаги .,Толкали следствие
Вырубка влажных джунглей представляет дополнительную проблему .,Вырубка представляет проблему
Подоспевшие туда армейские спецподразделения окружили террористов .,Спецподразделения окружили террористов
Операция подразумевает сохранение выпавшей матки .,Операция подразумевает сохранение
Народный защитник призвал телекомпанию прекратить трансляцию клипа .,Защитник призвал телекомпанию
Астрономы обнаружили ближайший к Земле коричневый карлик .,Астрономы обнаружили карлик
Развитие военно-морских сил получило наивысший приоритет .,Развитие получило приоритет
Фотографию записки опубликовал ее сосед .,Сосед опубликовал фотографию
Правоохранительные органы уточнили хронологию субботних событий .,Органы уточнили хронологию
Ранее экспертиза признала подростка невменяемым .,Экспертиза признала подростка
Посадочный материал на месте выдадут добровольные помощники .,Помощники выдадут материал
Американские фондовые индексы также продемонстрировали отрицательную динамику .,Индексы продемонстрировали динамику
Модификация представляет собой единую башенную установку .,Модификация представляет установку
Начавшееся разложение затрудняло ее идентификацию .,Разложение затрудняло идентификацию
Знакомство с готовым либретто подтвердило опасения композитора .,Знакомство подтвердило опасения
Прокуратура Витебского района проводит проверку этого происшествия .,Прокуратура проводит проверку
Этнические различия касались и отношений между полами .,Различия касались отношений
Героиня горько оплакивает свою судьбу .,Героиня оплакивает судьбу
Тянущийся за кометой шлейф имеет эллиптическую форму .,Шлейф имеет форму
Сумму ущерба подсчитывают владельцы пострадавшего павильона .,Владельцы подсчитывают сумму
В Свердловской области синоптики объявили штормовое предупреждение .,Синоптики объявили предупреждение
Подозреваемый объясняет свой поступок алкогольным опьянением .,Подозреваемый объясняет поступок
Важную роль играет горнодобывающая промышленность .,Промышленность играет роль
Троллейбус имеет только три двери для пассажиров .,Троллейбус имеет двери
Машинист остановил состав и отцепил кабину .,Машинист остановил состав
Асимметрия плана выдаёт функциональное назначение постройки .,Асимметрия выдаёт назначение
Размножающимся парам оказывают помощь птицы - помощники .,Птицы оказывают помощь
Фильм получил смешанные отрицательные отзывы от критиков .,Фильм получил отзывы
Офицеры и мичманы пользуются отдельными гальюнами .,Офицеры пользуются гальюнами
Догадку автора картинки подтвердили и другие пользователи .,Пользователи подтвердили догадку
Стороны также обсудят перспективы торгово-экономических отношений .,Стороны обсудят перспективы
Инициатива не получила поддержку чиновников .,Инициатива получила поддержку
Аналогичную шпионскую программу использует немецкая полиция .,Полиция использует программу
Полицейские сейчас устанавливают все обстоятельства этого инцидента .,Полицейские устанавливают обстоятельства
Российские правоохранительные органы проверяют эту информацию .,Органы проверяют информацию
Известная петербургская компания чистила заброшенную крепость .,Компания чистила крепость
Монастырскую гору пронизывают пещеры и подземные ходы .,Пронизывают пещеры
Правоохранительные органы исключили версию ограбления .,Органы исключили версию
Соответствующее решение принял Севастопольский апелляционный хозяйственный суд .,Суд принял решение
Журналист посчитал эту работу унизительной .,Журналист посчитал работу
Долгосрочный план также предусматривает четвёртый терминал .,План предусматривает терминал
Троллейбус возобновил движение по маршруту .,Троллейбус возобновил движение
Администраторы имеют абсолютный контроль над пространством .,Администраторы имеют контроль
Судебное разбирательство заняло всего несколько минут .,Разбирательство заняло минут
Восходящая диагональ символизирует стремление к прогрессу .,Диагональ символизирует стремление
Артисты устроили выступление и сфотографировались с пациентами .,Артисты устроили выступление
Сейчас спасательные службы разбирают обвалившиеся конструкции .,Службы разбирают конструкции
Исследователи по-разному объясняют причины закрытия музея .,Исследователи объясняют причины
Подозреваемые вывезли оттуда гранитный щебень на грузовиках .,Подозреваемые вывезли щебень
Российские власти отрицают причастность к отравлениям .,Власти отрицают причастность
Олигархические семьи управляли бы страной ?,Семьи управляли страной
Каждая опора имеет по два колеса .,Опора имеет колеса
Прокуратура ведет проверку по данному делу .,Прокуратура ведет проверку
Гостиные и суконные сотни имели самоуправление .,Сотни имели самоуправление
Исследователи видят в такой конструкции арабское влияние .,Исследователи видят влияние
Большую часть года преобладают устойчивые отрицательные температуры .,Температуры преобладают
В соревновании приняли участие восемь священнослужителей .,Священнослужителей приняли участие
Англичанин схватил нож и ранил россиянина .,Англичанин схватил нож
Значительную роль сыграли швейцарцы в итальянских войнах .,Швейцарцы сыграли роль
Британцы заняли круговую оборону на гребне хребта .,Британцы заняли оборону
Французский пловец принял участие в двух дисциплинах .,Пловец принял участие
Воссоздаваемый храм полностью повторяет архитектуру своего предшественника .,Храм повторяет архитектуру
Документ предписывает прекращение подготовки к процессу .,Документ предписывает прекращение
Врачи диагностировали у них пищевое отравление .,Врачи диагностировали отравление
Учитель сопровождает ученика в его образовательном движении .,Учитель сопровождает ученика
Точную причину смерти установит судебно-медицинская экспертиза .,Экспертиза установит причину
Корабли принимали участие в космических гонках .,Корабли принимали участие
Дерево перегородило проход к подземному переходу .,Дерево перегородило проход
Болельщики раскритиковали спортсменку за ее поступок .,Болельщики раскритиковали спортсменку
Бизнесмен по поддельным документам оформил налоговый вычет .,Бизнесмен оформил вычет
Российские фондовые индексы завершили неделю небольшим падением .,Индексы завершили неделю
Журналисты не раскрыли источник этой информации .,Журналисты раскрыли источник
Стражи порядка возбудили уголовное дело о мошенничестве .,Стражи возбудили дело
Судебные приставы конфисковали часть его дорогостоящего имущества .,Приставы конфисковали часть
Ритуальная практика кришнаитов имеет несколько ступеней посвящения .,Практика имеет ступеней
Именно в этот момент нарушителей заметили экологи .,Экологи заметили нарушителей
Игроки по-разному восприняли введение новых правил .,Игроки восприняли введение
Полотнище флага - вымпела завершается двумя косицами .,Вымпела завершается
Стеклянное здание венчает сооружение в форме крыльев .,Здание венчает сооружение
Корпус танка представлял собой сварную конструкцию .,Корпус представлял конструкцию
Помимо этого разработчики добавят новые средства передвижения .,Разработчики добавят средства
Исключительное внимание конференция уделила борьбе с голодом .,Конференция уделила внимание
Правоохранительные органы начали расследование произошедшего инцидента .,Органы начали расследование
Китайское телевидение вело прямую трансляцию запуска .,Телевидение вело трансляцию
Тем временем пробудившаяся нежить атакует земли эльфов .,Нежить атакует земли
Запись вызвала бурное обсуждение среди горожан .,Запись вызвала обсуждение
Памятник представляет собой скульптуру солдата на пьедестале .,Памятник представляет скульптуру
Полицейские изъяли у задержанного охотничий карабин .,Полицейские изъяли карабин
Адвокаты иллюзиониста полностью отрицают его вину .,Адвокаты отрицают вину
Оператор полного внешнего соединения соединяет две таблицы .,Оператор соединяет таблицы
Изобретение уже привлекло внимание инвесторов .,Изобретение привлекло внимание
Комиссия забраковала лишь один процент подписей .,Комиссия забраковала процент
Палестинские беженцы в спешке покидают свои дома .,Беженцы покидают дома
Правоохранительные органы начали проверку по данному факту .,Органы начали проверку
Организовывает эти соревнования Международная ассоциация Островных игр .,Ассоциация организовывает соревнования
Аналогичные изменения затронули две следующие станции .,Изменения затронули станции
Обвиняемая признала свою вину и возместила ущерб .,Обвиняемая признала вину
Злоумышленник изрезал ножом лицо ранее незнакомому мужчине .,Злоумышленник изрезал лицо
Ранее исследователи разработали транзистор из одной молекулы .,Исследователи разработали транзистор
Шотландский клуб также не избежал кадровых потерь .,Клуб избежал потерь
Виртуозные аранжировки делают звучание музыки необычным .,Аранжировки делают звучание
Метеорологи прогнозируют на ближайшие дни небольшой снег .,Метеорологи прогнозируют снег
Оппозиция обвинила власти в срыве соглашения .,Оппозиция обвинила власти
Строительство железных дорог сделало неактуальным пароходство .,Пароходство сделало строительство
Вознаграждение составило одну тысячу рублей за справку .,Вознаграждение составило рублей
Исключение составляет южное и юго-восточное побережье озера .,Исключение составляет побережье
Отечественные производители также воспользовались ситуацией .,Производители воспользовались ситуацией
Дополнительно радиоизлучение устранит самые горячие атомы .,Радиоизлучение устранит атомы
Руководство албанских сепаратистов опровергает эти сведения .,Руководство опровергает сведения
Так же инициативу поддержали и общенациональные издания .,Издания поддержали инициативу
Местные власти организовали компанию по сбору древесины .,Власти организовали компанию
Кнопку тревожной сигнализации нажала администратор .,Администратор нажала кнопку
Ранее этот вопрос уже поднимали местные парламентарии .,Парламентарии поднимали вопрос
Российские военно-воздушные силы осуществляли удары по боевикам .,Силы осуществляли удары
Правоохранительные органы предпринимают меры к розыску беглецов .,Органы предпринимают меры
Королевская бюрократия усилила контроль над населением .,Бюрократия усилила контроль
Оборотная сторона нагрудных знаков имеет гладкую поверхность .,Сторона имеет поверхность
Строительство нефтехимического комбината ухудшило экологическое состояние местности .,Строительство ухудшило состояние
Высшие исполнительные должности в компании занимают индийцы .,Индийцы занимают должности
Посетителей выставки ждет несколько музыкальных площадок .,Ждет площадок
Игроки имеют только одну игровую жизнь .,Игроки имеют жизнь
Соперники вновь выбрали вариант с испанской партией .,Соперники выбрали вариант
Сотрудники Самарской таможни выявили контрабанду сильнодействующих веществ .,Сотрудники выявили контрабанду
Оператор внутреннего соединения соединяет две таблицы .,Оператор соединяет таблицы
Обвиняемые отвергли обвинения по всем статьям .,Обвиняемые отвергли обвинения
Правоохранительные органы выясняют подробности задержания экскурсантов .,Органы выясняют подробности
Незнакомцы затеяли ссору и избили парня .,Незнакомцы затеяли ссору
Родственники осужденного считают это дело сфабрикованным .,Родственники считают дело
Игрок имеет возможность взаимодействовать с другими существами .,Игрок имеет возможность
Градоначальник также провёл беседу с торговцами .,Градоначальник провёл беседу
Ранее эти задачи выполняли украинские производители .,Производители выполняли задачи
Чувство тоски по дому заполняли его письма .,Чувство заполняли письма
"Там мальчика избили , предположительно , палкой .",Избили палкой
Отсрочку компания объяснила желанием доработать плеер .,Компания объяснила отсрочку
Соседи тут же вызвали полицейских .,Соседи вызвали полицейских
Аукцион поставил рекорд по числу шагов .,Аукцион поставил рекорд
Его знания часто спасают сирот .,Знания спасают сирот
Дверь хозяйка опрометчиво оставила открытой .,Хозяйка оставила дверь
Но организация газ не перекрыла .,Организация перекрыла газ
Суд заявление рассмотрел и удовлетворил .,Суд рассмотрел заявление
Полный рост их несколько превосходит человеческий .,Рост превосходит человеческий
Многие просят лекарства и уже получили их .,Многие просят лекарства
Женщина свою вину не признавала .,Женщина признавала вину
Сейчас срок надзора составляет год .,Срок составляет год
Этот вопрос сейчас волнует многих .,Вопрос волнует многих
При этом запрет мероприятия организаторы сочли незаконным .,Организаторы сочли запрет
Для человека данная продукция опасности не представляет .,Продукция представляет опасности
Наш педагог сразу же вызвала скорую .,Педагог вызвала скорую
Через несколько дней полиция задержала подозреваемого .,Полиция задержала подозреваемого
Ее финансовые параметры компания не раскрыла .,Компания раскрыла параметры
После этого потерпевшие медики вызвали полицию .,Медики вызвали полицию
Его два пассажира травм не получили .,Пассажира получили травм
Семь блоков серого гранита образуют дверной проем .,Блоков образуют проем
Однако это село пришло упадок .,Упадок пришло
Российский бизнесмен своей вины не признает .,Бизнесмен признает вины
Числа жертв источник не назвал .,Источник назвал числа
"Впрочем , некоторые смерти вызвали аплодисменты .",Смерти вызвали аплодисменты
Другой информации источник не предоставил .,Источник предоставил
Их имена следствие не раскрывает .,Следствие раскрывает имена
Вскоре сотрудники правоохранительных органов нашли подозреваемого .,Сотрудники нашли подозреваемого
Собранные доказательства суд признал достаточным .,Суд признал доказательства
Его жертве наши сотрудники вызвали скорую .,Сотрудники вызвали скорую
Кроме того барабанщик Мак Пул покинул группу .,Барабанщик покинул группу
Эту идею президент также поддержал .,Президент поддержал идею
Бывший главбух свою вину не признала .,Главбух признала вину
